"Type","Policy Document ID","Title","Translated title","Source title","Source country","Source type","Source sub-type","Published on","Cited research titles","Cited research DOIs","Topics","Document URL","Text"
"Policy citation","pubmedcentral-754ed76a5372f2ede9a62cc1f5482f9e","Clinical practice guidelines and expert consensus statements on rehabilitation for patients with COVID-19: a systematic review","","Guidelines in PubMed Central","USA","other","","2024-01-01","The Aftermath of the COVID-19 Crisis in Saudi Arabia: Respiratory Rehabilitation Recommendations by Physical Therapists","10.3390/healthcare9111560","Spirometry  ，Medical guideline  ，Physical therapy  ，Shortness of breath  ，Systematic review  ，COVID-19  ，Pulmonary function testing  ，Health  ，Medicine  ，Clinical medicine  ，Breathing  ，Preferred Reporting Items for Systematic Reviews and Meta-Analyses  ，Exhalation  ，Exercise  ，Health care  ，Long COVID  ，Medical specialties  ，Evidence-based medicine","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11409320/pdf",""
"Policy citation","hiqaie-47822d4e5d2aa1137e280a618825f27c","Interventions to improve Long COVID symptoms: A systematic review","","Health Information and Quality Authority","Ireland","government","","2023-11-21","Osteopathy and physiotherapy compared to physiotherapy alone on fatigue in long COVID: Study protocol for a pragmatic randomized controlled superiority trial","10.1016/j.ijosm.2022.04.004","Long COVID  ，COVID-19  ，Randomized controlled trial  ，Shortness of breath  ，Physical therapy  ，Chronic fatigue syndrome  ，Exercise  ，Symptoms of COVID-19  ，Health  ，Systematic review  ，Health care  ，Effect size  ，Risk  ，Health sciences  ，Medical specialties  ，Medicine  ，Clinical medicine  ，Anosmia  ，Health informatics  ，Clinical trial  ，Placebo  ，Diseases and disorders  ，Assistance  ，Chronic condition  ，Fatigue  ，Cochrane (organisation)  ，Quality of life (healthcare)  ，Social programs  ，Dietary supplement  ，Alternative medicine  ，Major depressive disorder  ，Social work","https://www.hiqa.ie/reports-and-publications/health-technology-assessment/interventions-improve-long-covid-symptoms",""
"Policy citation","pubmedcentral-185b47323c6768fada038a9537d2c0ea","Home‐based versus centre‐based cardiac rehabilitation","","Guidelines in PubMed Central","USA","other","","2023-10-27","Group-based cardiac rehabilitation interventions. A challenge for physical and rehabilitation medicine physicians: a randomized controlled trial","10.23736/s1973-9087.20.06013-x","Cardiac rehabilitation  ，Myocardial infarction  ，Coronary artery disease  ，Systematic review  ，Study heterogeneity  ，Angina  ，Cardiology  ，Physical therapy  ，Heart failure  ，Low-density lipoprotein  ，Percutaneous coronary intervention  ，Clinical medicine  ，Medical specialties  ，Health  ，Medicine  ，Cardiovascular system  ，Blood pressure  ，Cardiovascular disease  ，Heart  ，Health care  ，Randomized controlled trial  ，Telehealth  ，High-density lipoprotein  ，Reperfusion therapy  ，Cochrane (organisation)  ，Cholesterol  ，Effect size  ，Atherosclerosis  ，Cardiac muscle  ，Meta-analysis  ，Exercise  ，Vasodilation","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604509/pdf",""
"Policy citation","pubmedcentral-ea6149659a7d13559f27623e98290107","Digital technology for delivering and monitoring exercise programs for people with cystic fibrosis","","Guidelines in PubMed Central","USA","other","","2023-06-09","Correlation between posture  ， balance control  ， and peripheral muscle function in adults with cystic fibrosis","10.3109/09593985.2013.820246","Systematic review  ，Activity tracker  ，Meta-analysis  ，Blinded experiment  ，Randomized controlled trial  ，Health  ，Study heterogeneity  ，Publication bias  ，Spirometry  ，Exercise  ，Digital health  ，Adherence (medicine)  ，Standard deviation  ，Risk  ，Health technology  ，Health care  ，Medicine  ，Physical fitness  ，Pancreas  ，Cochrane (organisation)  ，Pulmonary fibrosis","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10251804/pdf",""
"Policy citation","healthnz-1f0c9190ada97f15aec086f038a5cbd5","Clinical Rehabilitation Guideline for People with Long COVID (Coronavirus Disease) in Aotearoa New Zealand","","New Zealand Ministry of Health","New Zealand","government","","2022-12-13","Osteopathy and physiotherapy compared to physiotherapy alone on fatigue in long COVID: Study protocol for a pragmatic randomized controlled superiority trial","10.1016/j.ijosm.2022.04.004","Long COVID  ，Physical therapy  ，COVID-19 pandemic  ，Health  ，Shortness of breath  ，Disability  ，Chronic fatigue syndrome  ，COVID-19  ，Fatigue  ，Signs and symptoms  ，Multisystem inflammatory syndrome in children  ，Health professional  ，Occupational therapist  ，Headache  ，Caregiver  ，Psychotherapy  ，Post-traumatic stress disorder  ，Alternative medicine  ，Disease  ，Syncope (medicine)  ，Health care  ，Diseases and disorders  ，Medical specialties  ，Medicine  ，Clinical medicine  ，Post-intensive care syndrome  ，Causes of death  ，Health sciences  ，Infection  ，Palpitations  ，Speech–language pathology  ，Mental health  ，Medical diagnosis  ，Cough  ，Symptoms of COVID-19  ，Self-care  ，Psychology  ，Pain  ，Telehealth  ，Māori people  ，Therapy  ，Chest pain  ，Vaccination  ，Evidence-based medicine  ，Chronic condition  ，Anxiety  ，Balance (ability)  ，Weakness  ，Epidemiology  ，Psychologist  ，Recovery model  ，Orthostatic intolerance","https://www.health.govt.nz/publication/clinical-rehabilitation-guideline-people-long-covid-coronavirus-disease-aotearoa-new-zealand",""
"Policy citation","healthnz-093b6ec089a3a0d1edff32c97fbb4142","Clinical Rehabilitation Guideline for People with Long COVID (Coronavirus Disease) in Aotearoa New Zealand","","New Zealand Ministry of Health","New Zealand","government","","2022-12-13","Osteopathy and physiotherapy compared to physiotherapy alone on fatigue in long COVID: Study protocol for a pragmatic randomized controlled superiority trial","10.1016/j.ijosm.2022.04.004","Long COVID  ，Physical therapy  ，COVID-19 pandemic  ，Health  ，Shortness of breath  ，Disability  ，Chronic fatigue syndrome  ，COVID-19  ，Fatigue  ，Signs and symptoms  ，Multisystem inflammatory syndrome in children  ，Health professional  ，Occupational therapist  ，Headache  ，Caregiver  ，Psychotherapy  ，Post-traumatic stress disorder  ，Alternative medicine  ，Disease  ，Syncope (medicine)  ，Health care  ，Diseases and disorders  ，Medical specialties  ，Medicine  ，Clinical medicine  ，Post-intensive care syndrome  ，Causes of death  ，Health sciences  ，Infection  ，Palpitations  ，Speech–language pathology  ，Mental health  ，Medical diagnosis  ，Cough  ，Symptoms of COVID-19  ，Self-care  ，Psychology  ，Pain  ，Telehealth  ，Māori people  ，Therapy  ，Chest pain  ，Vaccination  ，Evidence-based medicine  ，Chronic condition  ，Anxiety  ，Balance (ability)  ，Weakness  ，Epidemiology  ，Psychologist  ，Recovery model  ，Orthostatic intolerance","https://www.health.govt.nz/publications/clinical-rehabilitation-guideline-for-people-with-long-covid-coronavirus-disease-in-aotearoa-new",""
"Policy citation","healthnz-ca6dce5d26a08da40b64b92bba541bc9","Clinical Rehabilitation Guideline for People with Long COVID in Aotearoa New Zealand","","New Zealand Ministry of Health","New Zealand","government","","2022-09-08","Osteopathy and physiotherapy compared to physiotherapy alone on fatigue in long COVID: Study protocol for a pragmatic randomized controlled superiority trial","10.1016/j.ijosm.2022.04.004","Long COVID  ，Physical therapy  ，COVID-19 pandemic  ，Health  ，Chronic fatigue syndrome  ，Signs and symptoms  ，Shortness of breath  ，COVID-19  ，Disability  ，Headache  ，Health professional  ，Fatigue  ，Caregiver  ，Speech–language pathology  ，Medical diagnosis  ，Psychotherapy  ，Multisystem inflammatory syndrome in children  ，Telehealth  ，Occupational therapist  ，Postural orthostatic tachycardia syndrome  ，Health care  ，Disease  ，Recovery model  ，Medicine  ，Clinical medicine  ，Medical specialties  ，Health sciences  ，Diseases and disorders  ，Psychology  ，Palpitations  ，Infection  ，Post-traumatic stress disorder  ，Self-care  ，Alternative medicine  ，Syncope (medicine)  ，Psychologist  ，Causes of death  ，Chronic condition  ，Mental health  ，Cough  ，Māori people  ，Clouding of consciousness  ，Pain  ，Dietitian  ，Evidence-based medicine  ，Chest pain  ，Orthostatic intolerance  ，Symptoms of COVID-19  ，Preventive healthcare  ，Sleep  ，Stress (biology)  ，Myocarditis  ，Anxiety  ，Waitangi Tribunal","https://www.health.govt.nz/publication/clinical-rehabilitation-guideline-people-long-covid-aotearoa-new-zealand",""
"Policy citation","sbuse-7c22facede1a1f2f291c6ee8108cd4ef","Arbetsmiljöns betydelse för besvär och sjukdom i nacke， axlar， armar och händer","The importance of the work environment for problems and diseases in the neck， shoulders， arms and hands","Swedish Agency for Health Technology Assessment and Assessment of Social Services","Sweden","government","","2022-06-20","Association Between Text Neck and Neck Pain in Adults","10.1097/brs.0000000000003854","Musculoskeletal disorder  ，Human factors and ergonomics  ，Carpal tunnel syndrome  ，Diseases and disorders  ，Medicine  ，Health  ，Health sciences  ，Clinical medicine  ，Repetitive strain injury  ，Occupational safety and health  ，Epidemiology  ，Medical specialties  ，Occupational stress  ，Health care  ，Causes of death  ，Manual handling of loads","https://www.sbu.se/sv/publikationer/SBU-utvarderar/arbetsmiljons-betydelse-for-besvar-och-sjukdom-i-nacke-axlar-armar-och-hander/",""
"Policy citation","paho-66c7d3984cffcd1aa3f3f8fc76d6f0de","Ongoing Living Update of Potential COVID-19 Therapeutics Options: Summary of Evidence. Rapid Review","","Pan American Health Organization (PAHO)","IGO","igo","","2022-01-26","Prefrontal tDCS modulates autonomic responses in COVID-19 inpatients","10.1016/j.brs.2023.03.001","Dexamethasone  ，COVID-19 pandemic  ，RECOVERY Trial  ，Randomized controlled trial  ，Acute respiratory distress syndrome  ，Casirivimab/imdevimab  ，Baricitinib  ，Convalescent plasma  ，Tocilizumab  ，Venous thrombosis  ，Risk  ，Immunoglobulin therapy  ，Confounding  ，Remdesivir  ，Anticoagulant  ，Medicine  ，Drugs  ，Health care  ，Medical specialties  ，Clinical medicine  ，Health  ，Medical treatments  ，Pharmacology  ，Pharmaceutical sciences  ，ACE inhibitor  ，Clinical trial  ，Hydroxychloroquine  ，Health sciences  ，Preventive healthcare  ，Thrombosis  ，Meta-analysis  ，Solidarity trial  ，COVID-19  ，Pharmacy  ，Nonsteroidal anti-inflammatory drug  ，Digital object identifier  ，Medicinal chemistry  ，Systematic review  ，Hematopoietic stem cell transplantation  ，Interferon  ，Chemicals in medicine  ，Signs and symptoms  ，Therapy  ，Infection  ，Disease  ，Dose (biochemistry)  ，Diseases and disorders  ，COVID-19 vaccine  ，Aspirin  ，Interferon beta-1a  ，Cholecalciferol  ，Adverse effect  ，Thrombosis prevention  ，Bamlanivimab  ，Nirmatrelvir/ritonavir  ，Adverse event  ，Hospital  ，Molnupiravir  ，Placebo  ，Corticosteroid","https://iris.paho.org/handle/10665.2/52719",""
"Policy citation","pubmedcentral-8b72cb016ddd55dbc1dd5316ec78e86c","Physical therapies for postural abnormalities in people with cystic fibrosis","","Guidelines in PubMed Central","USA","other","","2020-03-30","Correlation between posture  ， balance control  ， and peripheral muscle function in adults with cystic fibrosis","10.3109/09593985.2013.820246","Systematic review  ，Cochrane (organisation)  ，Physical therapy  ，Randomized controlled trial  ，Spirometry  ，Kyphosis  ，Blinded experiment  ，Scoliosis  ，Pulmonary function testing  ，Evidence-based medicine  ，Reporting bias  ，Cystic fibrosis  ，Medicine  ，Health  ，Neutral spine  ，Muscle  ，Meta-analysis  ，Clinical trial  ，Joint manipulation  ，Massage  ，Adherence (medicine)  ，Clinical medicine  ，Lactate threshold  ，Health care  ，Exercise  ，Pain  ，Medical specialties  ，Bias  ，Pilates  ，Thorax  ，Lordosis  ，Therapy  ，Allocation concealment  ，Risk  ，Health sciences  ，Breathing","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104790/pdf",""
