title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis	created	deposited	published.print	doi	indexed	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	type	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	isbn
‘Believe the positive’ aggregation of fall risk assessment methods reduces the detection of risk of falling in older adults	10.1016/j.archger.2020.104228	http://dx.doi.org/10.1016/j.archger.2020.104228	0167-4943	Archives of Gerontology & Geriatrics	Michele Menezes			2020	1643107240	0	0	0	0	3	0	2	0	2	0	40	1	FALSE	Michele Menezes, Ney Armando Mello Meziat-Filho, Thiago Lemos, Arthur Sá Ferreira	0167-4943	5	6.8	1.054	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
‘Your spine is so worn out’ – the influence of clinical diagnosis on beliefs in patients with non-specific chronic low back pain – a qualitative study’	10.1016/j.bjpt.2021.07.001	http://dx.doi.org/10.1016/j.bjpt.2021.07.001	0211-5638	Fisioterapia : organo de la Asociacion Espanola de Fisioterapia.	Igor da Silva Bonfim			2021	1701936000	2	0	0	0	122	0	96	0	99	0	71	60	TRUE	Igor da Silva Bonfim, Leticia Amaral Corrêa, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho, Felipe José Jandre Reis, Renato Santos de Almeida	0211-5638	14	0.4	0.138	B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
“A journey to learn about pain”: the development and validation of a comic book about pain neuroscience education for children	10.1016/j.bjpt.2021.04.009	http://dx.doi.org/10.1016/j.bjpt.2021.04.009	0211-5638	Fisioterapia : organo de la Asociacion Espanola de Fisioterapia.	Felipe Reis			2021	1694269682	1	0	0	0	33	0	22	0	23	0	105	14	TRUE	Felipe Reis, Tonya Mizell Palermo, Louise Acalantis, Leandro Calazans Nogueira, Ney Meziat-Filho, Adriaan Louw, Kelly Ickmans	0211-5638	10	0.4	0.138	B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
“Text-neck”: an epidemic of the modern era of cell phones?	10.1016/j.spinee.2017.11.022	http://dx.doi.org/10.1016/j.spinee.2017.11.022	1529-9430	Spine Journal	Ney Meziat-Filho			2018	1660850403	3	0	0	0	51	0	40	0	43	0	58	24	FALSE	Ney Meziat-Filho, Arthur Sá Ferreira, Leandro Alberto Calazans Nogueira, Felipe José Jandre Reis	1529-9430	7	7.5	1.804	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A Critical Review of Position- and Velocity-Based Concepts of Postural Control During Upright Stance	10.1515/humo-2015-0016	http://dx.doi.org/10.1515/humo-2015-0016	1732-3991	Human Movement	Fellipe Machado Portela			2018	1651023584	0	0	0	0	2	0	2	0	2	0	34	2	TRUE	Fellipe Machado Portela, Erika Carvalho Rodrigues, Arthur de Sá Ferreira	1732-3991	3	2.3	0.435	B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A real-time and convex model for the estimation of muscle force from surface electromyographic signals in the upper and lower limbs	10.3389/fphys.2023.1098225	http://dx.doi.org/10.3389/fphys.2023.1098225	1664-042X	Frontiers in Physiology	Mehdi Shirzadi			2023	1677497462	0	0	0	0	3	0	3	0	3	0	12	2	TRUE	Mehdi Shirzadi, Hamid Reza Marateb, Mónica Rojas-Martínez, Marjan Mansourian, Alberto Botter, Fabio Vieira dos Anjos, Taian Martins Vieira, Miguel Angel Mañanas	1664-042X	3	6.1	1.006	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A Systematic Review of the Angular Values Obtained by Computerized Photogrammetry in Sagittal Plane: A Proposal for Reference Values	10.1016/j.jmpt.2014.01.002	http://dx.doi.org/10.1016/j.jmpt.2014.01.002	0161-4754	Journal of Manipulative & Physiological Therapeutics	Bruna Krawczky			2014	1429044775	3	0	0	0	13	0	8	0	11	0	121	6	FALSE	Bruna Krawczky, Antonio G. Pacheco, Míriam R.M. Mainenti	0161-4754	36	2.5	0.419	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accuracy and learning curves of inexperienced observers for manual segmentation of electromyograms	10.1590/s0103-51502013000300009	http://dx.doi.org/10.1590/s0103-51502013000300009	0103-5150	Fisioterapia em Movimento	Arthur de Sá Ferreira			2013	1653477453	0	0	0	0	2	0	2	0	2	0	8	2	TRUE	Arthur de Sá Ferreira, Fernando Silva Guimarães, Manuel Armando Ribeiro Magalhães, Regina Coeli Souza e Silva	0103-5150	3	0.3	NA	B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accuracy of Motion Palpation Flexion-Extension Test in Identifying the Seventh Cervical Spinal Process	10.1016/j.jcm.2017.11.005	http://dx.doi.org/10.1016/j.jcm.2017.11.005	1556-3707	Journal of chiropractic medicine (Print)	Luciana C. Póvoa			2018	1671799227	0	0	0	0	6	0	5	0	5	0	37	2	TRUE	Luciana C. Póvoa, Ana P.A. Ferreira, José F.C. Zanier, Julio G. Silva	1556-3707	11	1.4	0.302	A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Accuracy of Palpation Procedures for Locating the C1 Transverse Process and Masseter Muscle as Confirmed by Computed Tomography Images	10.1016/j.jmpt.2022.07.005	http://dx.doi.org/10.1016/j.jmpt.2022.07.005	0161-4754	Journal of Manipulative & Physiological Therapeutics	Ana Paula A Ferreira			2022	1667501680	1	0	0	0	15	0	4	0	5	0	9	4	FALSE	Ana Paula A Ferreira, José Fernando C Zanier, Eduardo Brown G Santos, Arthur S Ferreira	0161-4754	1	2.5	0.419	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acupuncture for neck pain: current evidence and challenges	10.21037/lcm-22-8	http://dx.doi.org/10.21037/lcm-22-8	2616-2806	Longhua Chinese Medicine	Sileyda Costa			2022	1669084653	0	0	0	0	3	0	3	0	3	0	3	2	TRUE	Sileyda Costa, Arthur de Sá Ferreira	2616-2806	0	NA	NA	B4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acute Effect of Aerobic and Strength Exercise on Heart Rate Variability and Baroreflex Sensitivity in Men with Autonomic Dysfunction	10.1519/jsc.0000000000002372	http://dx.doi.org/10.1519/jsc.0000000000002372	1064-8011	Journal of Strength & Conditioning Research	Tainah de Paula			2019	1572018734	0	0	0	0	1	0	1	0	1	0	95	1	FALSE	Tainah de Paula, Mario F Neves, Alex da Silva Itaborahy, Walace Monteiro, Paulo Farinatti, Felipe A Cunha	1064-8011	6	6.8	1.141	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acute Hormone Responses Subsequent to Agonist-Antagonist Paired Set vs. Traditional Straight Set Resistance Training	10.1519/jsc.0000000000002633	http://dx.doi.org/10.1519/jsc.0000000000002633	1064-8011	Journal of Strength & Conditioning Research	Humberto Miranda			2020	1677534033	0	0	0	0	7	0	5	1	6	0	86	3	FALSE	Humberto Miranda, João Antônio A A de Souza, Estevão Scudese, Gabriel A Paz, Verônica P Salerno, Patrícia Dos Santos Vigário, Jeffrey M Willardson	1064-8011	7	6.8	1.141	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Advanced Role and Field of Competence of the Physical and Rehabilitation Medicine Specialist in Contemporary Cardiac Rehabilitation	10.1016/s1109-9666(16)30013-6	http://dx.doi.org/10.1016/s1109-9666(16)30013-6	1109-9666	Hellenic journal of cardiology HJC Hellēnikē kardiologikē epitheōrēsē	Jannis Papathanasiou			2016	1646740690	0	0	0	0	1	0	1	0	1	0	41	1	TRUE	Jannis Papathanasiou, Troicho Troev, Arthur S. Ferreira, Dorothea Tsekoura, Harieta Elkova, Elias Kyriopoulos, Elena Ilieva	1109-9666	19	5.8	0.606	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Advances in spirometry testing for lung function analysis	10.1080/17476348.2019.1607301	http://dx.doi.org/10.1080/17476348.2019.1607301	1747-6348	Expert Review of Respiratory Medicine	Agnaldo José Lopes			2019	1556228563	0	0	0	0	4	0	4	0	4	0	95	2	FALSE	Agnaldo José Lopes	1747-6348	14	6.4	0.915	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Age of independent sitting posture acquisition for children with myelomeningocele	10.1016/j.jns.2015.08.685	http://dx.doi.org/10.1016/j.jns.2015.08.685	0022-510X	Journal of the Neurological Sciences	M.R.C. Sá			2015	1648033978	0	0	0	0	1	0	1	0	1	0	17	1	TRUE	M.R.C. Sá, C.T. Ribeiro, F.G. Fracho, A.S. Ferreira, M. Xavier, V. Guedes, M.F. Cunha, R. Custódio, A.C.A.F. Ferreira, M. Orsini	0022-510X	0	6.5	1.042	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
