title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
‘Believe the positive’ aggregation of fall risk assessment methods reduces the detection of risk of falling in older adults	10.1016/j.archger.2020.104228	http://dx.doi.org/10.1016/j.archger.2020.104228	0167-4943	Archives of Gerontology & Geriatrics	Michele Menezes			2020	1643107240	0	0	0	0	3	0	2	0	2	0	36	1	FALSE	Michele Menezes, Ney Armando Mello Meziat-Filho, Thiago Lemos, Arthur Sá Ferreira	0167-4943	5	6.8	1.008	A1
‘Your spine is so worn out’ – the influence of clinical diagnosis on beliefs in patients with non-specific chronic low back pain – a qualitative study’	10.1016/j.bjpt.2021.07.001	http://dx.doi.org/10.1016/j.bjpt.2021.07.001	1413-3555	Brazilian Journal of Physical Therapy	Igor da Silva Bonfim			2021	1658973433	2	0	0	0	121	0	96	0	98	0	56	55	TRUE	Igor da Silva Bonfim, Leticia Amaral Corrêa, Leandro Alberto Calazans Nogueira, Ney Meziat-Filho, Felipe José Jandre Reis, Renato Santos de Almeida	1413-3555	9	6.4	0.975	A2
“A journey to learn about pain”: the development and validation of a comic book about pain neuroscience education for children	10.1016/j.bjpt.2021.04.009	http://dx.doi.org/10.1016/j.bjpt.2021.04.009	1413-3555	Brazilian Journal of Physical Therapy	Felipe Reis			2022	1661347856	1	0	0	0	29	0	21	0	22	0	75	14	TRUE	Felipe Reis, Tonya Mizell Palermo, Louise Acalantis, Leandro Calazans Nogueira, Ney Meziat-Filho, Adriaan Louw, Kelly Ickmans	1413-3555	7	6.4	0.975	A2
A Critical Review of Position- and Velocity-Based Concepts of Postural Control During Upright Stance	10.1515/humo-2015-0016	http://dx.doi.org/10.1515/humo-2015-0016	1899-1955	Human Movement	Fellipe Machado Portela			2014	1651023584	0	0	0	0	2	0	2	0	2	0	32	2	TRUE	Fellipe Machado Portela, Erika Carvalho Rodrigues, Arthur de Sá Ferreira	1899-1955	3	0.8	0.372	B1
A real-time and convex model for the estimation of muscle force from surface electromyographic signals in the upper and lower limbs	10.3389/fphys.2023.1098225	http://dx.doi.org/10.3389/fphys.2023.1098225	1664-042X	Frontiers in Physiology	Mehdi Shirzadi			2023	1677497462	0	0	0	0	3	0	3	0	3	0	8	2	TRUE	Mehdi Shirzadi, Hamid Reza Marateb, Mónica Rojas-Martínez, Marjan Mansourian, Alberto Botter, Fabio Vieira dos Anjos, Taian Martins Vieira, Miguel Angel Mañanas	1664-042X	0	6.1	1.028	A2
A Systematic Review of the Angular Values Obtained by Computerized Photogrammetry in Sagittal Plane: A Proposal for Reference Values	10.1016/j.jmpt.2014.01.002	http://dx.doi.org/10.1016/j.jmpt.2014.01.002	0161-4754	Journal of Manipulative & Physiological Therapeutics	Bruna Krawczky			2014	1429044775	3	0	0	0	13	0	8	0	11	0	118	6	FALSE	Bruna Krawczky, Antonio G. Pacheco, Míriam R.M. Mainenti	0161-4754	31	2.5	0.454	A2
Accuracy and learning curves of inexperienced observers for manual segmentation of electromyograms	10.1590/s0103-51502013000300009	http://dx.doi.org/10.1590/s0103-51502013000300009	0103-5150	Fisioterapia em Movimento	Arthur de Sá Ferreira			2013	1653477453	0	0	0	0	2	0	2	0	2	0	8	2	TRUE	Arthur de Sá Ferreira, Fernando Silva Guimarães, Manuel Armando Ribeiro Magalhães, Regina Coeli Souza e Silva	0103-5150	3	0.3	NA	B1
Accuracy of Motion Palpation Flexion-Extension Test in Identifying the Seventh Cervical Spinal Process	10.1016/j.jcm.2017.11.005	http://dx.doi.org/10.1016/j.jcm.2017.11.005	1556-3707	Journal of chiropractic medicine (Print)	Luciana C. Póvoa			2018	1671799227	0	0	0	0	6	0	5	0	5	0	33	2	TRUE	Luciana C. Póvoa, Ana P.A. Ferreira, José F.C. Zanier, Julio G. Silva	1556-3707	8	1.4	0.217	A1
Accuracy of Palpation Procedures for Locating the C1 Transverse Process and Masseter Muscle as Confirmed by Computed Tomography Images	10.1016/j.jmpt.2022.07.005	http://dx.doi.org/10.1016/j.jmpt.2022.07.005	0161-4754	Journal of Manipulative & Physiological Therapeutics	Ana Paula A. Ferreira			2022	1667501680	1	0	0	0	15	0	4	0	5	0	6	4	FALSE	Ana Paula A. Ferreira, José Fernando C. Zanier, Eduardo Brown G. Santos, Arthur S. Ferreira	0161-4754	0	2.5	0.454	A2
Acute Effect of Aerobic and Strength Exercise on Heart Rate Variability and Baroreflex Sensitivity in Men With Autonomic Dysfunction	10.1519/jsc.0000000000002372	http://dx.doi.org/10.1519/jsc.0000000000002372	1064-8011	Journal of Strength & Conditioning Research	Tainah de Paula			2019	1572018734	0	0	0	0	1	0	1	0	1	0	100	1	FALSE	Tainah de Paula, Mario F. Neves, Alex da Silva Itaborahy, Walace Monteiro, Paulo Farinatti, Felipe A. Cunha	1064-8011	5	6.8	1.3	A2
