journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	language	short.container.title	published.online	isbn	update.policy	abstract	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Poster Presentations	2021-11-24	2022-02-15	2021-11	10.1136/bjsports-2021-ioc.187	2022-03-29	NA	NA	2021-11	239	NA	10.1136	BMJ Publishing Group Ltd and British Association of Sport and Exercise Medicine	1	Crossref	0	0	0	NA	202 Variables associated with knee valgus in male soccer players during a single leg vertical landing task	proceedings-article	http://dx.doi.org/10.1136/bjsports-2021-ioc.187	NA	NA	NA	2021-11-23	NA	http://dx.doi.org/10.1136/crossmarkpolicy	NA	Gustavo Leporace, Matheus Vianna, Leonardo Metsavaht, Marcio Tannure, Alex Souto Maior	2021	0	TRUE	-1	NA	NA
Annals of the Rheumatic Diseases	2021-01-25	2021-01-25	2020-06	10.1136/annrheumdis-2020-eular.1641	2022-04-07	0003-4967,1468-2060	Suppl 1	2020-06	239	1577.1-1578	10.1136	BMJ	1	Crossref	0	0	0	General Biochemistry, Genetics and Molecular Biology,Immunology,Immunology and Allergy,Rheumatology	AB0561 AUTOMATIC QUANTIFICATION OF INTERSTITIAL LUNG DISEASE FROM CHEST COMPUTED TOMOGRAPHY IN SYSTEMIC SCLERODERMA	journal-article	http://dx.doi.org/10.1136/annrheumdis-2020-eular.1641	79	en	Ann Rheum Dis	2020-06-02	NA	http://dx.doi.org/10.1136/crossmarkpolicy	<jats:sec><jats:title>Background:</jats:title><jats:p>Scleroderma-associated interstitial lung disease (SSc-ILD) is often observed in patients with systemic scleroderma (SSc) and its diagnosis contributes to early treatment decisions<jats:sup>1,2</jats:sup>.</jats:p></jats:sec><jats:sec><jats:title>Objectives:</jats:title><jats:p>The present study aims to automatically quantify SSc-ILD from high-resolution chest-computed tomography (HRCT) and to evaluate the association between interstitial lung disease (ILD) extension and lung function impairment.</jats:p></jats:sec><jats:sec><jats:title>Methods:</jats:title><jats:p>Ninety-four patients with SSc and 27 lung-healthy subjects matched for gender, weight, height, and age underwent HRCT, spirometry and carbon monoxide diffusion capacity (DL<jats:sub>CO</jats:sub>). SSc-ILD was determined as the tissue mass present between -500 and +100 Hounsfield Units normalized by the total lung tissue mass (TLM). Cut off was the highest value obtained in the control group (25% of TLM). All data are presented as mean and standard deviations (Table I). An ANOVA test followed by Bonferroni post-hoc correction was used for comparisons among groups.</jats:p></jats:sec><jats:sec><jats:title>Results:</jats:title><jats:p>From 94 patients with SSc, 64 were classified as having pulmonary involvement (SSc-ILD) and 30 as not having pulmonary involvement (SSc No-ILD). In SSc-ILD subjects, there was a significant reduction in forced vital capacity (FVC), carbon monoxide diffusion capacity (DL<jats:sub>CO</jats:sub>) and carbon monoxide diffusion capacity normalized by alveolar ventilation (DL<jats:sub>CO</jats:sub>/A) when compared with SSc No-ILD and control group.</jats:p></jats:sec><jats:sec><jats:title>Conclusion:</jats:title><jats:p>The proposed method allows the automatic quantification of SSc-ILD from HRCT and ILD extent is associated with pulmonary function impairment.</jats:p></jats:sec><jats:sec><jats:title>References:</jats:title><jats:p>[1]Doyle TJ, Dellaripa PF. Lung Manifestations in the Rheumatic Diseases. CHEST. 2017 Dec;152(6):1283–95.</jats:p><jats:p>[2]Saketkoo LA, Magnus JH, Doyle MK. The primary care physician in the early diagnosis of systemic sclerosis: the cornerstone of recognition and hope. The American Journal of the Medical Sciences. 2014 Jan;347(1):54–63.</jats:p><jats:table-wrap id="T29" position="float" orientation="portrait"><jats:label>Table 1.</jats:label><jats:caption><jats:p>Demographic variables, pulmonary function tests and densitovolumetry considering scleroderma patients with less or greater pulmonary involvement.</jats:p></jats:caption><jats:table><jats:thead><jats:tr><jats:th align="center" rowspan="1" colspan="1" /><jats:th align="center" rowspan="1" colspan="1"><jats:bold>Control Group</jats:bold><jats:break /><jats:bold>N = 27</jats:bold></jats:th><jats:th align="center" rowspan="1" colspan="1"><jats:bold>SSc No-ILD</jats:bold><jats:break /><jats:bold>N = 30</jats:bold></jats:th><jats:th align="center" rowspan="1" colspan="1"><jats:bold>SSc-ILD</jats:bold><jats:break /><jats:bold>N = 64</jats:bold></jats:th><jats:th align="center" rowspan="1" colspan="1"><jats:bold>p-value</jats:bold></jats:th></jats:tr></jats:thead><jats:tbody><jats:tr><jats:td align="left" rowspan="1" colspan="1"><jats:bold>Demographic Data</jats:bold></jats:td><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">Females</jats:td><jats:td align="center" rowspan="1" colspan="1">16 (59.2)</jats:td><jats:td align="center" rowspan="1" colspan="1">28 (93.3)</jats:td><jats:td align="center" rowspan="1" colspan="1">58 (90.1)</jats:td><jats:td align="center" rowspan="1" colspan="1">-</jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">Age (years)</jats:td><jats:td align="center" rowspan="1" colspan="1">37.9 ± 14.8</jats:td><jats:td align="center" rowspan="1" colspan="1">51.2 ± 12.2</jats:td><jats:td align="center" rowspan="1" colspan="1">56 ± 14</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.011</jats:bold><jats:sup><jats:bold>a,b</jats:bold></jats:sup></jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">BMI (kg/m<jats:sup>2</jats:sup>)</jats:td><jats:td align="center" rowspan="1" colspan="1">26.7 ± 5.1</jats:td><jats:td align="center" rowspan="1" colspan="1">24.1 ± 5.0</jats:td><jats:td align="center" rowspan="1" colspan="1">25.9 ± 5.7</jats:td><jats:td align="center" rowspan="1" colspan="1">-</jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1"><jats:bold>Lung Function</jats:bold></jats:td><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1"> FVC (% predicted)</jats:td><jats:td align="center" rowspan="1" colspan="1">100.2 ± 9.2</jats:td><jats:td align="center" rowspan="1" colspan="1">99.9 ± 19.8</jats:td><jats:td align="center" rowspan="1" colspan="1">69.8 ± 16.7</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.001</jats:bold><jats:sup><jats:bold>b,c</jats:bold></jats:sup></jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1"> DLco (% predicted)</jats:td><jats:td align="center" rowspan="1" colspan="1">103 ± 13.3</jats:td><jats:td align="center" rowspan="1" colspan="1">83.8 ± 14.2</jats:td><jats:td align="center" rowspan="1" colspan="1">63.4 ± 20.3</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.002</jats:bold><jats:sup><jats:bold>a,b,c</jats:bold></jats:sup></jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">DLco/A (% predicted)</jats:td><jats:td align="center" rowspan="1" colspan="1">112.7 ± 17.4</jats:td><jats:td align="center" rowspan="1" colspan="1">85.7 ± 12.9</jats:td><jats:td align="center" rowspan="1" colspan="1">79.2 ± 20.6</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.001</jats:bold><jats:sup><jats:bold>a,b</jats:bold></jats:sup></jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1"><jats:bold>Densitovolumetry</jats:bold></jats:td><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /><jats:td align="center" rowspan="1" colspan="1" /></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">TLV mL</jats:td><jats:td align="center" rowspan="1" colspan="1">4675 ± 986</jats:td><jats:td align="center" rowspan="1" colspan="1">4471 ± 916</jats:td><jats:td align="center" rowspan="1" colspan="1">3492 ± 1120</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.001</jats:bold><jats:sup><jats:bold>b,c</jats:bold></jats:sup></jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1">Lung Tissue Mass (g)</jats:td><jats:td align="center" rowspan="1" colspan="1">793 ± 125</jats:td><jats:td align="center" rowspan="1" colspan="1">756 ± 159</jats:td><jats:td align="center" rowspan="1" colspan="1">731 ± 155</jats:td><jats:td align="center" rowspan="1" colspan="1">-</jats:td></jats:tr><jats:tr><jats:td align="left" rowspan="1" colspan="1"> ILD Extent (% LTM)</jats:td><jats:td align="center" rowspan="1" colspan="1">17 ± 2</jats:td><jats:td align="center" rowspan="1" colspan="1">22.9 ± 1.2</jats:td><jats:td align="center" rowspan="1" colspan="1">32.6 ± 8</jats:td><jats:td align="center" rowspan="1" colspan="1"><jats:bold>&lt;0.003</jats:bold><jats:sup><jats:bold>a,b,c</jats:bold></jats:sup></jats:td></jats:tr></jats:tbody></jats:table><jats:table-wrap-foot><jats:fn><jats:p>a: Statistically significant difference between No-ILD SSc and control group; b and c: Statistically significant difference between SSc-ILD vs control group and SSc No-ILD, respectively.</jats:p></jats:fn></jats:table-wrap-foot></jats:table-wrap></jats:sec><jats:sec><jats:title>Disclosure of Interests:</jats:title><jats:p>None declared</jats:p></jats:sec>	A. Carvalho, A. Guimarães, F. R. Sztajnbok, R. Rodrigues, B. Silva, A. Lopes, I. Almeida, M. França	2020	0	FALSE	32.8	6,489	A1
Arquivos Brasileiros de Educação Física	2021-10-21	2021-11-18	NA	10.20873/abef.2595-0096.v4n1pg0140100	2022-04-01	NA	1	2021	8462	NA	10.20873	Universidade Federal do Tocantins	1	Crossref	0	0	0	NA	Anais do I Congresso Internacional Online de Fisioterapia Músculoesquelética	journal-article	http://dx.doi.org/10.20873/abef.2595-0096.v4n1pg0140100	4	NA	Arq. Bras. Ed. Fís.	2021	NA	NA	NA	 	2021	0	TRUE	-1	NA	B4
Journal of Neurologic Physical Therapy	2013-07-04	2021-05-14	2013-03	10.1097/npt.0b013e3182840354	2022-04-03	1557-0576	1	2013-03	276	44-45	10.1097	Ovid Technologies (Wolters Kluwer Health)	1	Crossref	0	0	0	Neurology (clinical),Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Associação Brasileira de Fisiotherapia Neurofunctional (ABRAFIN) Best Abstract Awards	journal-article	http://dx.doi.org/10.1097/npt.0b013e3182840354	37	en	NA	NA	NA	NA	NA	 	2013	0	TRUE	6.4	0,884	A1
XXVI Brazilian Congress on Biomedical Engineering,IFMBE Proceedings	2019-06-03	2019-06-03	2019	10.1007/978-981-13-2119-1_69	2022-04-03	1680-0737,1433-9277	NA	2019	297	453-458	10.1007	Springer Singapore	1	Crossref	16	16	0	NA	Diagnosis of Respiratory Abnormalities Using Tracheal Sounds Analysis: Instrumentation and Evaluation in Simulated and In Vivo Tests	book-chapter	http://dx.doi.org/10.1007/978-981-13-2119-1_69	NA	NA	NA	2019-06-04	9789811321184,9789811321191	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	N. A. Lima Junior, I. M. Queiroz, N. V. Oliveira, A. J. Lopes, P. L. Melo	2019	0	FALSE	NA	0,155	NA
B30. ARTHUR DUBOIS MEMORIAL SESSION: THE SMALL AND LARGE OF AIRWAY AND LUNG FUNCTION	2020-07-08	2020-07-08	2020-05	10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2999	2022-04-04	NA	NA	2020-05	19	NA	10.1164	American Thoracic Society	1	Crossref	0	0	0	NA	Is the Nitrogen Single-Breath Washout Test Useful to Detecting Changes in Different Forms of Pulmonary Involvement in Rheumatoid Arthritis?	proceedings-article	http://dx.doi.org/10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2999	NA	NA	NA	2020-05-01	NA	NA	NA	E. Bessa, F. Ribeiro, R. Rufino, C.H. Costa, G. Pinheiro, A. Lopes	2020	0	TRUE	-1	NA	NA
2017 International Conference on Rehabilitation Robotics (ICORR)	2017-08-14	2019-10-02	2017-07	10.1109/icorr.2017.8009230	2022-04-05	NA	NA	2017-07	263	NA	10.1109	IEEE	1	Crossref	30	30	0	NA	Movement therapy without moving — First results on isometric movement training for post-stroke rehabilitation of arm function	proceedings-article	http://dx.doi.org/10.1109/icorr.2017.8009230	NA	NA	NA	NA	NA	NA	NA	A. Melendez-Calderon, E. Rodrigues, K. Thielbar, J.L. Patton	2017	1	TRUE	-1	NA	NA
A55. EXERCISE RELATED STUDIES AND CLINICAL STUDIES IN PULMONARY VASCULAR DISEASES	2020-07-08	2020-07-08	2020-05	10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2051	2022-04-02	NA	NA	2020-05	19	NA	10.1164	American Thoracic Society	1	Crossref	0	0	0	NA	Pulmonary Hypertension in Systemic Sclerosis: Profile and Prognosis	proceedings-article	http://dx.doi.org/10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2051	NA	NA	NA	2020-05-01	NA	NA	NA	L.G. Correia, V.S. Vilela, B. Rangel, M.M. Dias, A.J. Lopes, C.H. Costa, R. Rufino	2020	0	TRUE	-1	NA	NA
Journal of Science and Medicine in Sport	2022-11-16	2022-11-16	2022-11	10.1016/j.jsams.2022.09.048	2022-11-17	1440-2440	NA	2022-11	78	S49-S50	10.1016	Elsevier BV	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Runners with noisy knees after surgery: Is it related to symptoms?	journal-article	http://dx.doi.org/10.1016/j.jsams.2022.09.048	25	en	Journal of Science and Medicine in Sport	NA	NA	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	D. De Oliveira Silva, A. Culvenor, R. Johnston, B. Mentiplay, M. Girdwood, M. Hedger, T. West, M. Haberfield, B. Patterson, G. Telles, K. Crossley	2022	0	TRUE	7.8	1,324	A1
Journal of Critical Care	2017-12-13	2018-08-25	2017-12	10.1016/j.jcrc.2017.09.160	2022-03-30	0883-9441	NA	2017-12	78	420	10.1016	Elsevier BV	1	Crossref	0	0	0	Critical Care and Intensive Care Medicine	Support vector machine classifier for predicting extubation outcome in intensive care unit	journal-article	http://dx.doi.org/10.1016/j.jcrc.2017.09.160	42	en	Journal of Critical Care	NA	NA	NA	NA	Tomás Santibáñez-Arellano, Claudio Tapia Malebrán, Fernando Silva Guimarães	2017	0	FALSE	7.2	1,085	A3
