journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Acta Scientiarum. Health Sciences	2018-03-08	2018-03-08	NA	10.4025/actascihealthsci.v40i1.33469	2022-11-15	1807-8648,1679-9291	1	2018-02-23	2451	33469	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	2	General Biochemistry, Genetics and Molecular Biology,General Medicine	&lt;b&gt;Cardiac autonomic profile in cervical spinal cord injury subjects practitioners of the physical exercise	journal-article	http://dx.doi.org/10.4025/actascihealthsci.v40i1.33469	40	Acta Sci. Health Sci.	2018-02-23	NA	NA	NA	NA	NA	Edgar William Martins, Roberto Magalhães, Moacir Marocolo, Alex Souto Maior	2018	0	TRUE	0.4	0.134	B2	NA
Acta Scientiarum. Health Sciences	2017-09-06	2017-09-06	NA	10.4025/actascihealthsci.v39i2.33468	2022-04-03	1807-8648,1679-9291	2	2017-08-22	2451	141	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	0	General Biochemistry, Genetics and Molecular Biology,General Medicine	&lt;b&gt;Profile of the cardiac repolarization in cervical spinal cord injury subjects performing physical exercise	journal-article	http://dx.doi.org/10.4025/actascihealthsci.v39i2.33468	39	Acta Sci. Health Sci.	2017-08-22	NA	NA	NA	NA	NA	Roberto Magalhães, Edgar William Martins, Alex Souto Maior, Moacir Marocolo	2017	0	TRUE	0.4	0.134	B2	NA
International Journal of Chronic Obstructive Pulmonary Disease	2020-12-07	2022-12-03	NA	10.2147/copd.s276690	2023-04-21	1178-2005	NA	2020-12	301	3273-3289	10.2147	Informa UK Limited	1	Crossref	62	62	3	Industrial and Manufacturing Engineering,Polymers and Plastics,Business and International Management	&lt;p&gt;Oscillation Mechanics, Integer and Fractional Respiratory Modeling in COPD: Effect of Obstruction Severity&lt;/p&gt;	journal-article	http://dx.doi.org/10.2147/copd.s276690	Volume 15	COPD	2020-12	en	NA	NA	NA	NA	Caroline Oliveira Ribeiro, Agnaldo José Lopes, Pedro Lopes de Melo	2020	3	TRUE	NA	0.924	A1	NA
American Journal of Case Reports	2021-06-25	2021-06-25	NA	10.12659/ajcr.932660	2022-04-02	1941-5923	NA	2021-06-11	4947	NA	10.12659	International Scientific Information, Inc.	1	Crossref	0	0	0	General Medicine	A 34-Year-Old Woman from Brazil with Pulmonary Lymphangioleiomyomatosis Diagnosed by Raised Serum Vascular Endothelial Growth Factor-D (VEGF-D) Levels and Lung Cysts on Computed Tomography Imaging Presenting with COVID-19 Pneumonia	journal-article	http://dx.doi.org/10.12659/ajcr.932660	22	Am J Case Rep	2021-06-11	en	NA	NA	NA	NA	Alícia Sales Carneiro, Thiago Thomaz Mafort, Agnaldo José Lopes	2021	0	TRUE	1.6	0.271	A4	NA
Revista Augustus	2020-06-10	2020-06-10	NA	10.15202/1981896.2020v25n51p357	2022-03-30	1981-1896	51	2020-06-03	7456	357-369	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A COVID-19 E O DISTANCIAMENTO SOCIAL: quando a onda da internet substituiu a onda do mar para a prática de exercícios físicos	journal-article	http://dx.doi.org/10.15202/1981896.2020v25n51p357	25	revistaaugustus	2020-06-03	NA	NA	NA	NA	NA	Patrícia Dos Santos Vigário, Roberto Miranda Ramos Costa	2020	0	TRUE	NA	NA	NA	NA
Fisioterapia Brasil	2019-04-30	2022-12-01	NA	10.33233/fb.v20i2.2226	2022-12-02	2526-9747,1518-9740	2	2019-05-01	18483	147-155	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	A influência da Fisioterapia na redução da intensidade da dor e no efeito global percebido de pacientes com dores musculoesqueléticas	journal-article	http://dx.doi.org/10.33233/fb.v20i2.2226	20	Fisioter Bras	2019-05-01	NA	NA	NA	NA	NA	Aline Oliveira Chaves, Renato Santos Almeida, Leticia Amaral Corrêa, Felipe José Jandre Dos Reis, Ney Armando Mello Meziat-Filho, Leandro Alberto Calazans Nogueira	2019	0	TRUE	NA	NA	B2	NA
Revista Augustus	2021-10-01	2021-10-01	NA	10.15202/19811896.2021v26n53p186	2022-04-02	1981-1896	53	2021-03-01	7456	186-199	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A SÍNDROME DE ASPERGER: desafios para a inclusão e a importância da literatura infanto-juvenil	journal-article	http://dx.doi.org/10.15202/19811896.2021v26n53p186	26	revistaaugustus	2021-03-01	NA	NA	NA	NA	NA	Lucimar Da Silva Marques, Thalita Ponce Sobral, Patrícia Dos Santos Vigário	2021	0	TRUE	NA	NA	NA	NA
Clinical Neurology and Neurosurgery	2017-04-23	2019-09-21	2017-07	10.1016/j.clineuro.2017.04.018	2023-03-26	0303-8467	NA	2017-07	78	33-39	10.1016	Elsevier BV	1	Crossref	105	105	5	Neurology (clinical),General Medicine,Surgery	Ablative surgery for Parkinson’s disease: Is there still a role for pallidotomy in the deep brain stimulation era?	journal-article	http://dx.doi.org/10.1016/j.clineuro.2017.04.018	158	Clinical Neurology and Neurosurgery	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Bruno Spindola, Marco Antônio Leite, Marco Orsini, Erich Fonoff, José Alberto Landeiro, Bruno Lima Pessoa	2017	5	FALSE	3.2	0.538	A3	NA
Fisioterapia e Pesquisa	2013-11-02	2019-07-31	2013-09	10.1590/s1809-29502013000300015	2023-01-28	1809-2950	3	2013-09	530	293-298	10.1590	FapUNIFESP (SciELO)	1	Crossref	26	26	6	General Medicine	Abordagem fisioterapêutica da ataxia espinocerebelar: uma revisão sistemática	journal-article	http://dx.doi.org/10.1590/s1809-29502013000300015	20	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	Camilla Polonini Martins, Erika de Carvalho Rodrigues, Laura Alice Santos de Oliveira	2013	6	TRUE	NA	NA	B1	NA
Human Movement	2020-02-26	2020-05-22	2020	10.5114/hm.2020.91347	2022-04-03	1899-1955	3	2020	3061	64-70	10.5114	Termedia Sp. z.o.o.	1	Crossref	0	0	1	Public Health, Environmental and Occupational Health,Physical Therapy, Sports Therapy and Rehabilitation,Biophysics	Absolute and relative peak power during pneumatic squat exercise using different percentages of loads in elite soccer players	journal-article	http://dx.doi.org/10.5114/hm.2020.91347	21	hm	NA	NA	NA	NA	NA	NA	Alex Maior	2020	1	TRUE	0.8	0.372	B1	NA
Journal of Bodywork and Movement Therapies	2021-03-07	2023-03-29	2021-07	10.1016/j.jbmt.2021.02.026	2023-03-29	1360-8592	NA	2021-07	78	233-238	10.1016	Elsevier BV	1	Crossref	32	32	0	Complementary and alternative medicine,Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Acute effect of different duration times of application of myofascial release on quadriceps femoris strength: A randomized clinical trial	journal-article	http://dx.doi.org/10.1016/j.jbmt.2021.02.026	27	Journal of Bodywork and Movement Therapies	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Tamires Cristina Campos de Almeida, Vanessa Paes, Maurício Soares, Guilherme de Freitas Fonseca, Maicom Lima, Júlio Guilherme Silva	2021	0	FALSE	2.5	0.404	A2	NA
Revista Dor	2017-03-13	2017-03-13	2017	10.5935/1806-0013.20170018	2022-04-03	1806-0013	1	2017	3948	NA	10.5935	GN1 Sistemas e Publicacoes Ltd.	1	Crossref	0	0	0	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Acute effect of Kinesio Taping on knee pain and stability. Case report	journal-article	http://dx.doi.org/10.5935/1806-0013.20170018	18	NA	NA	en	NA	NA	NA	NA	Alexsandro da Silva Oliveira, Débora Pedroza Guedes da Silva, Júlio Guilherme Silva	2017	0	TRUE	NA	NA	A3	NA
Journal of Physical Therapy Science	2016-06-23	2019-09-09	2016	10.1589/jpts.28.1720	2022-04-02	0915-5287,2187-5626	6	2016	533	1720-1723	10.1589	Society of Physical Therapy Science	1	Crossref	37	37	6	Physical Therapy, Sports Therapy and Rehabilitation	Acute effects of neural mobilization and infrared on the mechanics of the median nerve	journal-article	http://dx.doi.org/10.1589/jpts.28.1720	28	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Monara Kedma Nunes, Gabrielly Fontenele dos Santos, Diandra Caroline Martins e Silva, Ana Cláudia Mota de Freitas, Isadora Ferreira Henriques, Peterson Marco Andrade, Dionis de Castro Machado, Silmar Teixeira, Marco Orsini Neves, Gildário Dias, Fernando Silva-Júnior, Victor Hugo Bastos	2016	6	TRUE	NA	NA	C	NA
International Journal of Sports Medicine	2016-08-23	2017-05-22	NA	10.1055/s-0042-104197	2023-06-07	0172-4622,1439-3964	11	2016-08-23	194	855-862	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	14	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Acute Hypotensive Response to Continuous and Accumulated Isocaloric Aerobic Bouts	journal-article	http://dx.doi.org/10.1055/s-0042-104197	37	Int J Sports Med	2016-08-23	en	NA	NA	NA	NA	F. Cunha, A. Midgley, L. Pescatello, P. Soares, P. Farinatti	2016	14	TRUE	5.4	0.965	A2	NA
Medicina Sportiva	2014-03-21	2017-06-14	2014-03-20	10.5604/17342260.1094790	2023-02-11	1734-2260	1	2014-03-20	3689	36-41	10.5604	Index Copernicus	1	Crossref	0	0	3	NA	ACUTE RESPONSES OF RATE PRESSURE PRODUCT IN SETS OF RESISTANCE EXERCISE	journal-article	http://dx.doi.org/10.5604/17342260.1094790	18	Med Sport	NA	NA	NA	NA	NA	NA	Alex Souto Maior, Pedro L. Katayama, Gustavo R. Mota, André A. Lauria, Octávio Barbosa Neto, Daniel G. S. Freitas, Moacir Marocolo	2014	3	FALSE	NA	NA	NA	NA
Respiratory Physiology &amp; Neurobiology	2013-12-12	2022-03-19	2014-02	10.1016/j.resp.2013.12.004	2022-11-18	1569-9048	NA	2014-02	78	39-47	10.1016	Elsevier BV	1	Crossref	59	59	25	Pulmonary and Respiratory Medicine,Physiology,General Neuroscience	Airflow pattern complexity during resting breathing in patients with COPD: Effect of airway obstruction	journal-article	http://dx.doi.org/10.1016/j.resp.2013.12.004	192	Respiratory Physiology &amp; Neurobiology	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	Karla Kristine Dames, Agnaldo José Lopes, Pedro Lopes de Melo	2014	25	FALSE	4.7	0.607	A4	NA
Baltic Journal of Health and Physical Activity	2022-07-07	2022-07-07	NA	10.29359/bjhpa.14.2.06	2022-07-08	2080-9999	2	2022-06-30	11905	Article6	10.29359	Gdansk University of Physical Education and Sport	1	Crossref	0	0	0	General Medicine	An assessment of isometric muscle strength and the hamstring: Quadriceps ratio among males trained with free weights vs. machines	journal-article	http://dx.doi.org/10.29359/bjhpa.14.2.06	14	BJHPA	2022-06-30	NA	NA	NA	NA	NA	Geferson Honorato Da Silva, Alex Souto Maior	2022	0	TRUE	1.2	NA	NA	NA
