journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Acta Scientiarum. Health Sciences	2018-03-08	2018-03-08	NA	10.4025/actascihealthsci.v40i1.33469	2022-11-15	1807-8648,1679-9291	1	2018-02-23	2451	33469	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	2	General Biochemistry, Genetics and Molecular Biology,General Medicine	&lt;b&gt;Cardiac autonomic profile in cervical spinal cord injury subjects practitioners of the physical exercise	journal-article	http://dx.doi.org/10.4025/actascihealthsci.v40i1.33469	40	NA	Acta Sci. Health Sci.	2018-02-23	NA	NA	NA	NA	NA	NA	Edgar William Martins, Roberto Magalhães, Moacir Marocolo, Alex Souto Maior	2018	0	TRUE	0.4	0,134	B2
Acta Scientiarum. Health Sciences	2017-09-06	2017-09-06	NA	10.4025/actascihealthsci.v39i2.33468	2022-04-03	1807-8648,1679-9291	2	2017-08-22	2451	141	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	0	General Biochemistry, Genetics and Molecular Biology,General Medicine	&lt;b&gt;Profile of the cardiac repolarization in cervical spinal cord injury subjects performing physical exercise	journal-article	http://dx.doi.org/10.4025/actascihealthsci.v39i2.33468	39	NA	Acta Sci. Health Sci.	2017-08-22	NA	NA	NA	NA	NA	NA	Roberto Magalhães, Edgar William Martins, Alex Souto Maior, Moacir Marocolo	2017	0	TRUE	0.4	0,134	B2
International Journal of Chronic Obstructive Pulmonary Disease	2020-12-07	2022-12-03	NA	10.2147/copd.s276690	2023-04-21	1178-2005	NA	2020-12	301	3273-3289	10.2147	Informa UK Limited	1	Crossref	62	62	3	Industrial and Manufacturing Engineering,Polymers and Plastics,Business and International Management	&lt;p&gt;Oscillation Mechanics, Integer and Fractional Respiratory Modeling in COPD: Effect of Obstruction Severity&lt;/p&gt;	journal-article	http://dx.doi.org/10.2147/copd.s276690	Volume 15	NA	COPD	2020-12	en	NA	NA	NA	NA	NA	Caroline Oliveira Ribeiro, Agnaldo José Lopes, Pedro Lopes de Melo	2020	3	TRUE	NA	0,924	A1
American Journal of Case Reports	2021-06-25	2021-06-25	NA	10.12659/ajcr.932660	2022-04-02	1941-5923	NA	2021-06-11	4947	NA	10.12659	International Scientific Information, Inc.	1	Crossref	0	0	0	General Medicine	A 34-Year-Old Woman from Brazil with Pulmonary Lymphangioleiomyomatosis Diagnosed by Raised Serum Vascular Endothelial Growth Factor-D (VEGF-D) Levels and Lung Cysts on Computed Tomography Imaging Presenting with COVID-19 Pneumonia	journal-article	http://dx.doi.org/10.12659/ajcr.932660	22	NA	Am J Case Rep	2021-06-11	en	NA	NA	NA	NA	NA	Alícia Sales Carneiro, Thiago Thomaz Mafort, Agnaldo José Lopes	2021	0	TRUE	1.6	0,271	A4
Revista Augustus	2020-06-10	2020-06-10	NA	10.15202/1981896.2020v25n51p357	2022-03-30	1981-1896	51	2020-06-03	7456	357-369	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A COVID-19 E O DISTANCIAMENTO SOCIAL: quando a onda da internet substituiu a onda do mar para a prática de exercícios físicos	journal-article	http://dx.doi.org/10.15202/1981896.2020v25n51p357	25	<jats:p>Uma pandemia causada pelo novo coronavírus, o Sars-CoV-2, determinou mudanças na rotina das pessoas em todo o mundo. Dentre elas, o distanciamento social, implementado pela Organização Mundial da Saúde para conter o avanço do contágio entre as pessoas. Tal medida, impactou também na prática de exercícios físicos ao ar livre, restringindo o funcionamento dos estabelecimentos. Dentro desse contexto, medidas estão sendo tomadas pelos profissionais de educação física para propiciar a prática regular de exercícios físicos utilizando recursos tecnológicos. Os objetivos do presente estudo foram: (i) investigar o impacto da interrupção da prática de natação em águas abertas (NAA) devido ao distanciamento social frente à pandemia da Covid-19 na percepção de bem-estar e estado geral de saúde, e (ii) investigar a percepção sobre a necessidade de adaptação em um curto espaço de tempo a um novo modelo de exercício físico, realizado em ambiente domiciliar, e mediado por recursos tecnológicos utilizando a internet. A interrupção da prática de NAA, devido à recomendação de distanciamento social para a diminuição do contágio da Covid-19, trouxe repercussões negativas na percepção de saúde e bem-estar, principalmente nos aspectos relacionados à qualidade do sono e ansiedade. Entretanto, as videoaulas de ginástica por meio de ferramentas tecnológicas de internet mostraram-se positivas para minimizar tais repercussões, sobretudo por permitirem um convívio social, mesmo que virtual. Dessa forma, em tempos de distanciamento social, medidas devem ser adotadas para o equilíbrio mente sã, corpo são.</jats:p>	revistaaugustus	2020-06-03	NA	NA	NA	NA	NA	NA	Patrícia Dos Santos Vigário, Roberto Miranda Ramos Costa	2020	0	TRUE	NA	NA	NA
Fisioterapia Brasil	2019-04-30	2022-12-01	NA	10.33233/fb.v20i2.2226	2022-12-02	2526-9747,1518-9740	2	2019-05-01	18483	147-155	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	A influência da Fisioterapia na redução da intensidade da dor e no efeito global percebido de pacientes com dores musculoesqueléticas	journal-article	http://dx.doi.org/10.33233/fb.v20i2.2226	20	<jats:p>A melhora clí­nica do paciente com dores musculoesqueléticas (DME) deve ser monitorada em conjunto com a percepção do paciente sobre o efeito do tratamento, apesar da falta de informação sobre esse tema. Objetivo: Analisar a influência do tratamento fisioterápico na redução da intensidade da dor e no efeito global percebido de pacientes com DME. Métodos: Foi realizado um estudo observacional analí­tico retrospectivo em 61 pacientes com DME que responderam uma questão relacionada í  intensidade de dor e outra questão sobre o efeito global percebido do tratamento fisioterápico. A intensidade de dor medida após 10 meses de acompanhamento foi comparada aos valores iniciais. Resultados: Os participantes eram predominantemente mulheres (83,3%) adultas (média de idade de 59,6 anos). A média de intensidade da dor na avaliação inicial foi de 6,4 (± 2,7), com média de tempo de dor de 20,3 meses. A média de intensidade de dor após o contato telefônico foi de 4,37 (± 3,9). A análise do efeito global percebido evidenciou melhora na maioria dos participantes (16,7% completamente recuperados; 39,7% melhoraram muito, 26,7% melhoraram pouco). Conclusão: Pacientes com DME apresentaram redução da intensidade da dor e melhora no efeito global percebido após um programa de Fisioterapia.Palavras-chave: fisioterapia, dor crônica, dor musculoesquelética, intensidade de dor, efeito global percebido.</jats:p>	Fisioter Bras	2019-05-01	NA	NA	NA	NA	NA	NA	Aline Oliveira Chaves, Renato Santos Almeida, Leticia Amaral Corrêa, Felipe José Jandre Dos Reis, Ney Armando Mello Meziat-Filho, Leandro Alberto Calazans Nogueira	2019	0	TRUE	NA	NA	B2
Revista Augustus	2021-10-01	2021-10-01	NA	10.15202/19811896.2021v26n53p186	2022-04-02	1981-1896	53	2021-03-01	7456	186-199	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A SÍNDROME DE ASPERGER: desafios para a inclusão e a importância da literatura infanto-juvenil	journal-article	http://dx.doi.org/10.15202/19811896.2021v26n53p186	26	<jats:p>A Síndrome de Asperger (SA) faz parte da família dos Transtornos Invasivos do Desenvolvimento (TID). Dentre a variedade de sinais e sintomas que os indivíduos com SA podem apresentar destacam-se a dificuldade de interação social, além de interesses específicos em objetos e temas não usuais. O presente estudo teve como objetivo apresentar aspectos relacionados à SA, os desafios em termos de inclusão desses indivíduos e a possibilidade do uso da literatura infanto-juvenil como facilitadora neste processo. Por meio da literatura consultada constatou-se que crianças e jovens com SA são frequentemente vítimas de bullying, preconceito e exclusão social na escola, fato este que pode ser minimizado por meio do uso de livros que abordem o tema deficiência. Dessa forma, espera-se que as crianças cresçam, se desenvolvam e se tornem cidadãos com um olhar diferenciado sobre a deficiência, livre de preconceitos e pré-julgamentos. A inclusão é um processo complexo, porém deve naturalmente fazer parte da vida das crianças, preferencialmente de uma forma leve, lúdica e precoce.</jats:p>	revistaaugustus	2021-03-01	NA	NA	NA	NA	NA	NA	Lucimar Da Silva Marques, Thalita Ponce Sobral, Patrícia Dos Santos Vigário	2021	0	TRUE	NA	NA	NA
Clinical Neurology and Neurosurgery	2017-04-23	2019-09-21	2017-07	10.1016/j.clineuro.2017.04.018	2023-03-26	0303-8467	NA	2017-07	78	33-39	10.1016	Elsevier BV	1	Crossref	105	105	5	Neurology (clinical),General Medicine,Surgery	Ablative surgery for Parkinson’s disease: Is there still a role for pallidotomy in the deep brain stimulation era?	journal-article	http://dx.doi.org/10.1016/j.clineuro.2017.04.018	158	NA	Clinical Neurology and Neurosurgery	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Bruno Spindola, Marco Antônio Leite, Marco Orsini, Erich Fonoff, José Alberto Landeiro, Bruno Lima Pessoa	2017	5	FALSE	3.2	0,538	A3
Fisioterapia e Pesquisa	2013-11-02	2019-07-31	2013-09	10.1590/s1809-29502013000300015	2023-01-28	1809-2950	3	2013-09	530	293-298	10.1590	FapUNIFESP (SciELO)	1	Crossref	26	26	6	General Medicine	Abordagem fisioterapêutica da ataxia espinocerebelar: uma revisão sistemática	journal-article	http://dx.doi.org/10.1590/s1809-29502013000300015	20	<jats:p>A ataxia espinocerebelar (SCA) é uma afecção hereditária que cursa com a degeneração progressiva do cerebelo e suas vias, causando alterações do equilíbrio e de outras funções. O efeito das abordagens da fisioterapia no tratamento da SCA e a qualidade metodológica desses estudos foram analisados. Foi investigado ainda se os benefícios alcançados com o tratamento são retidos. As intervenções encontradas incluem treino do equilíbrio, marcha e coordenação; fortalecimento; caneleiras nos membros durante exercícios e aplicação de estimulação magnética transcraniana. A retenção das melhoras obtidas com o tratamento foi relacionada ao grau de evolução da SCA e à continuidade da prática de exercícios. Porém, novos estudos com maior rigor científico são necessários para eleger as abordagens mais adequadas para o tratamento de portadores de SCA.</jats:p>	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	NA	Camilla Polonini Martins, Erika de Carvalho Rodrigues, Laura Alice Santos de Oliveira	2013	6	TRUE	NA	NA	B1
Human Movement	2020-02-26	2020-05-22	2020	10.5114/hm.2020.91347	2022-04-03	1899-1955	3	2020	3061	64-70	10.5114	Termedia Sp. z.o.o.	1	Crossref	0	0	1	Public Health, Environmental and Occupational Health,Physical Therapy, Sports Therapy and Rehabilitation,Biophysics	Absolute and relative peak power during pneumatic squat exercise using different percentages of loads in elite soccer players	journal-article	http://dx.doi.org/10.5114/hm.2020.91347	21	NA	hm	NA	NA	NA	NA	NA	NA	NA	Alex Maior	2020	1	TRUE	0.8	0,372	B1
